Model,Baseline Accuracy,Tuned Accuracy,Performance Gain
Support Vector Machine,0.8379629629629629,0.9421296296296297,0.10416666666666674
K-Nearest Neighbors,0.9050925925925926,0.9282407407407407,0.02314814814814814
Decision Tree,0.9490740740740741,0.9537037037037037,0.00462962962962965
